NTDID,AGENCY,SSW,UZA,UZA_NAME,MODES,TOS,JAN02,FEB02,MAR02,APR02,MAY02,JUN02,JUL02,AUG02,SEP02,OCT02,NOV02,DEC02,JAN03,FEB03,MAR03,APR03,MAY03,JUN03,JUL03,AUG03,SEP03,OCT03,NOV03,DEC03,JAN04,FEB04,MAR04,APR04,MAY04,JUN04,JUL04,AUG04,SEP04,OCT04,NOV04,DEC04,JAN05,FEB05,MAR05,APR05,MAY05,JUN05,JUL05,AUG05,SEP05,OCT05,NOV05,DEC05,JAN06,FEB06,MAR06,APR06,MAY06,JUN06,JUL06,AUG06,SEP06,OCT06,NOV06,DEC06,JAN07,FEB07,MAR07,APR07,MAY07,JUN07,JUL07,AUG07,SEP07,OCT07,NOV07,DEC07,JAN08,FEB08,MAR08,APR08,MAY08,JUN08,JUL08,AUG08,SEP08,OCT08,NOV08,DEC08,JAN09,FEB09,MAR09,APR09,MAY09,JUN09,JUL09,AUG09,SEP09,OCT09,NOV09,DEC09,JAN10,FEB10,MAR10,APR10,MAY10,JUN10,JUL10,AUG10,SEP10,OCT10,NOV10,DEC10,JAN11,FEB11,MAR11,APR11,MAY11,JUN11,JUL11,AUG11,SEP11,OCT11,NOV11,DEC11,JAN12,FEB12,MAR12
3024,Berks Area Reading Transportation Authority,N,130,"Reading, PA",MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,"205,131","183,145","219,051","215,740","218,632","200,505","203,985","204,458","212,027","238,978","205,252","218,116","200,358","208,694","231,388","222,681","210,995","212,057","210,137","214,480","221,864","235,103","223,098","225,797","207,012","213,046","233,648","228,969","218,294","214,960","195,179","220,035","216,049","218,699","215,125","217,150","206,773","211,282","237,053","210,053","227,686","222,224","216,244","245,552","232,814","244,173","234,279","230,311","223,069","204,507","238,960","216,854","236,123","223,136","217,086","243,262","221,453","259,492","239,193","230,137","244,204","230,260","239,205","249,610","245,410","234,270","256,703","260,127","252,963","273,921","228,925","242,745","224,692","231,675","242,751","237,384","232,753","232,289","224,519","246,866","243,297","261,145","234,067","246,270","224,024","206,842","266,492","252,253","235,438","247,550","253,053","284,481","252,394","264,076","253,419","250,617","223,275","238,887","275,721","258,845","253,069","260,014","244,884","275,254","261,974","269,559","261,211","266,475","243,093","267,341","281,684"
3025,County of Lackawanna Transit System,N,84,"Scranton, PA",DR,PT,528,480,504,670,613,623,654,662,643,746,588,524,559,504,553,596,521,553,564,530,557,646,520,591,0,0,0,0,0,0,0,0,0,0,0,0,560,532,522,572,458,494,478,591,607,550,525,525,541,557,611,574,546,533,493,609,621,638,600,620,568,495,703,664,576,545,545,718,600,661,607,516,592,488,547,596,534,477,646,682,698,746,599,558,617,721,820,779,686,725,695,677,722,739,616,721,689,631,918,866,821,921,931,970,928,978,799,813,793,780,936,851,772,785,739,827,754,724,705,811,885,"1,072",984
3025,County of Lackawanna Transit System,N,84,"Scranton, PA",MB,DO,"129,836","118,944","126,896","153,751","146,772","127,431","119,333","118,837","111,590","121,169","111,890","104,153","102,846","108,732","126,083","123,870","138,798","123,361","135,987","135,674","130,457","145,900","124,999","133,313","117,951","123,226","144,027","146,703","141,569","149,086","143,442","144,843","145,115","152,225","156,092","159,990","128,033","133,377","149,439","147,862","146,534","150,012","139,578","153,637","151,945","154,856","156,786","146,228","153,777","144,491","162,339","151,735","160,225","154,954","151,658","170,534","164,354","164,705","152,301","148,438","149,503","118,137","154,710","158,045","174,841","165,548","164,575","184,787","166,493","173,886","165,023","154,263","166,584","154,158","168,414","183,652","172,196","160,239","172,865","173,192","164,440","176,211","154,385","161,449","155,769","154,459","164,348","163,492","150,505","162,025","162,068","150,244","155,649","166,404","145,814","136,802","127,985","119,354","156,508","146,177","136,194","144,945","146,781","152,893","149,094","148,885","134,889","131,773","121,152","114,461","135,935","130,961","124,297","135,266","120,044","133,870","128,115","130,642","124,327","122,103","113,613","127,320","138,534"
3025,County of Lackawanna Transit System,N,84,"Scranton, PA",MB,PT,"4,094","3,768","4,058","2,905","2,925","2,476","3,998","4,381","3,921","4,433","4,201","3,931","3,975","3,660","4,309","4,474","4,153","4,032","4,642","4,434","4,084","4,569","4,251","4,389","3,760","3,967","4,860","4,344","4,313","4,638","4,741","4,384","4,380","4,469","4,275","4,294","3,213","3,815","4,218","4,392","4,111","4,233","3,647","4,600","4,358","4,305","4,245","4,238","3,895","3,737","4,165","4,102","4,140","4,261","4,265","4,619","4,168","4,351","4,257","4,487","4,228","3,466","4,129","4,115","4,650","4,492","4,788","5,088","4,250","4,668","4,511","4,263","4,385","4,055","4,618","4,694","4,675","4,615","4,639","4,696","4,873","4,968","4,522","5,038","4,145","4,316","5,274","5,836","4,608","5,196","5,316","5,093","5,239","5,478","4,797","5,183","4,496","3,801","5,113","5,058","4,742","5,045","5,203","5,089","4,607","4,708","4,611","4,649","4,075","4,080","4,515","4,480","4,380","4,600","4,221","4,725","4,317","4,473","4,498","4,317","4,072","4,697","4,971"
3026,Williamsport Bureau of Transportation,N,386,"Williamsport, PA",DR,PT,317,276,371,341,348,277,290,310,319,373,331,316,324,314,360,307,277,190,206,247,257,267,219,259,260,294,286,265,283,242,216,251,258,247,184,152,122,149,151,156,211,205,188,253,234,209,199,201,197,189,196,166,180,204,136,145,137,186,133,140,131,139,137,137,137,156,117,178,145,157,110,116,142,113,126,200,195,199,140,137,144,138,123,150,117,132,161,181,164,160,99,106,111,106,96,94,102,81,133,121,111,104,98,127,132,123,91,112,93,99,117,100,86,105,82,127,109,104,109,100,79,74,80
3026,Williamsport Bureau of Transportation,N,386,"Williamsport, PA",MB,DO,"89,725","89,161","94,126","96,500","93,694","89,894","93,867","144,250","89,294","104,897","96,506","91,874","94,193","93,397","102,391","102,895","101,311","94,878","103,497","153,208","97,701","107,979","92,796","99,768","93,454","97,390","106,900","104,619","97,636","100,605","100,005","148,580","101,529","108,186","100,906","100,855","92,394","98,117","107,679","104,475","97,636","96,055","97,328","150,290","103,264","100,602","97,043","96,971","94,617","95,356","102,269","94,851","99,867","101,319","97,396","152,782","97,521","108,461","104,787","104,367","99,885","94,526","105,840","97,211","100,895","101,319","97,898","146,354","92,681","107,500","101,077","101,638","101,420","101,250","105,837","112,881","110,219","107,096","112,574","152,720","107,209","116,892","98,997","103,520","97,960","101,192","104,923","101,895","98,186","99,552","103,333","146,233","99,480","107,740","99,794","106,787","99,045","98,002","114,863","114,210","102,018","104,232","107,297","153,088","108,349","110,500","107,715","109,498","101,203","101,259","117,705","110,213","101,021","108,073","106,305","169,406","111,406","115,455","113,493","117,303","110,233","118,991","121,060"
3027,York County Transportation Authority,N,158,"York, PA",CB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,278","1,443","1,560"
3027,York County Transportation Authority,N,158,"York, PA",CB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,728","7,654","8,276"
3027,York County Transportation Authority,N,158,"York, PA",DR,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,525","16,777","15,594","16,001","15,784","14,819","13,198","12,234","15,316","15,939","16,272","16,253","15,064","17,592","16,377",0,0,0,"14,609","13,269","16,853","14,921","17,017","15,966","15,117","17,044","15,608","16,482","15,908","14,184","14,273","11,158","15,167","14,905","16,247","15,512","15,534","17,225","15,387","17,245","15,436","13,975","14,792","12,983","15,456","17,282","16,360","16,209","15,887","15,352","16,418","16,755","14,146","14,503","12,196","12,664","14,596","14,621","13,605","14,084","13,914","13,971","13,740","14,107","13,041","13,106","12,055","9,717","14,284","13,416","11,994","13,024","12,846","13,410","12,714","12,666","12,432","12,245","10,124","9,833","11,829","10,881","11,231","11,387","24,247","28,652","24,580","25,622","15,621","23,823","26,131","24,318","25,955"
3027,York County Transportation Authority,N,158,"York, PA",DR,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,86,51,94,74,14,41,46,58,60,49,222,301,227,109,0,0,0,830,801,947,929,959,"1,626","2,156","2,271","1,171","1,112","1,150","1,010","1,142",943,"1,139",997,"1,161","2,621","4,008","3,084","1,156","1,359","1,264","1,118","1,339","1,270","1,320","1,340","1,281","3,646","5,944","4,572","1,517","1,845","1,383","1,362","1,316","1,277","1,375","1,327","1,142","4,120","6,715","4,387","1,245","1,326","1,775","1,994","1,688","1,514","2,267","2,704","2,353","4,378","6,844","5,472","2,175","2,804","2,730","2,283","2,100","2,493","3,029","2,747","3,015","4,544","6,421","5,779","2,855","2,899","13,346","2,412","2,537","4,222","4,506"
3027,York County Transportation Authority,N,158,"York, PA",DT,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,284,297,354,318,110,"4,217","3,642","1,586","1,798",130,"2,205",102,104,0
3027,York County Transportation Authority,N,158,"York, PA",MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"121,658","125,160","134,796","140,195","129,252","122,386","113,655","115,927","115,361","112,428","108,808","116,156","113,650","124,337","133,648",0,0,0,"120,891","119,397","132,822","120,500","131,012","145,677","129,080","171,151","158,948","173,025","159,582","155,921","163,836","141,833","170,468","157,512","162,551","156,299","151,855","170,498","154,591","173,530","148,958","113,452","113,370","107,422","110,286","114,894","109,651","108,936","115,599","114,854","113,274","123,129","105,428","106,180","99,347","103,527","108,344","105,858","103,575","102,828","105,471","106,577","109,779","113,362","102,993","104,486","112,728","95,884","121,713","114,066","110,597","110,022","108,366","120,945","125,588","125,301","119,490","109,352","106,056","112,634","125,736","119,044","121,196","118,910","119,602","137,186","137,898","137,990","123,054","139,294","135,104","141,089","150,452"
